campaign_id,month,channel,audience,region,impressions,clicks,leads,conversions,spend,engagement_rate,conversion_rate,cac,conversion_definition
CMP0001,2025-09-01,Field Rep Detailing,HCP,All-India,241,105,31,4,183546.0,0.4357,0.129,45886.38,HCP starts/resumes recommending
CMP0002,2025-09-01,HCP Digital Detailing & Webinars,HCP,All-India,1040,146,29,3,54553.0,0.1404,0.1034,18184.43,HCP starts/resumes recommending
CMP0003,2025-09-01,CME / Medical Conferences,HCP,All-India,181,75,19,2,52232.0,0.4144,0.1053,26116.03,HCP starts/resumes recommending
CMP0004,2025-09-01,Pharmacist Trade Program,Pharmacist,All-India,539,163,61,18,48285.0,0.3024,0.2951,2682.5,Outlet re-stocks and recommends
CMP0005,2025-09-01,Paid Social (Meta),Parents,All-India,1023505,8994,708,57,95550.0,0.0088,0.0805,1676.31,First purchase
CMP0006,2025-09-01,YouTube / Video,Parents,All-India,696153,4033,190,21,57410.0,0.0058,0.1105,2733.81,First purchase
CMP0007,2025-09-01,Search Ads,Parents,All-India,73487,2289,225,27,43871.0,0.0311,0.12,1624.85,First purchase
CMP0008,2025-09-01,E-Pharmacy Sponsored Listings,Parents,All-India,93613,2362,586,182,41462.0,0.0252,0.3106,227.81,First purchase
CMP0009,2025-09-01,Parenting Communities & Creators,Parents,All-India,144483,2253,143,13,26384.0,0.0156,0.0909,2029.57,First purchase
CMP0010,2025-09-01,WhatsApp / CRM Refill Reminders,Parents (existing),All-India,12393,2342,787,374,8414.0,0.189,0.4752,22.5,Repeat purchase (retention)
CMP0011,2025-10-01,Field Rep Detailing,HCP,All-India,223,107,33,7,152116.0,0.4798,0.2121,21730.91,HCP starts/resumes recommending
CMP0012,2025-10-01,HCP Digital Detailing & Webinars,HCP,All-India,1160,169,36,3,62465.0,0.1457,0.0833,20821.6,HCP starts/resumes recommending
CMP0013,2025-10-01,CME / Medical Conferences,HCP,All-India,281,112,30,3,73469.0,0.3986,0.1,24489.64,HCP starts/resumes recommending
CMP0014,2025-10-01,Pharmacist Trade Program,Pharmacist,All-India,522,135,55,14,59839.0,0.2586,0.2545,4274.22,Outlet re-stocks and recommends
