consumer_id,child_age_group,region,city_tier,parent_age_group,income_band,awareness,purchase_channel,purchase_frequency,price_sensitivity,brand_trust,recommendation_source,adherence_score,aware_of_recall,current_brand
CON00001,0-12 months,North,T1,25-29,>1L,3,Retail Chemist,Every 2-3 months,2,4,Gynecologist,0.556,False,Other brand
CON00002,6-12 years,South,T1,25-29,25k-50k,2,Pharmacy Chain,Every 2-3 months,3,4,Family/Friends,0.51,False,Other brand
CON00003,0-12 months,West,T1,18-24,25k-50k,4,Pharmacy Chain,Every 2-3 months,4,4,Pediatrician,0.61,False,Other brand
CON00004,0-12 months,West,T2,30-34,25k-50k,3,Retail Chemist,Every 2-3 months,3,5,Family/Friends,0.581,False,Not currently buying
CON00005,6-12 years,West,T1,25-29,>1L,4,E-Pharmacy,Occasionally,3,5,Family/Friends,0.434,False,Not currently buying
CON00006,6-12 years,West,T1,35-39,50k-1L,4,E-Pharmacy,Occasionally,1,5,Family/Friends,0.476,False,Other brand
CON00007,0-12 months,Central,T2,35-39,25k-50k,5,Retail Chemist,Every 2-3 months,4,5,Pediatrician,0.647,False,DePURA Kids
CON00008,1-5 years,North,T2,18-24,50k-1L,5,Retail Chemist,Every 2-3 months,4,3,Pediatrician,0.695,False,Other brand
CON00009,0-12 months,East,T1,35-39,50k-1L,4,Quick Commerce,Every 2-3 months,3,3,Pediatrician,0.69,True,DePURA Kids
CON00010,1-5 years,South,T2,35-39,>1L,4,Retail Chemist,Every 2-3 months,2,4,Pharmacist,0.69,False,Other brand
CON00011,0-12 months,North,T2,40+,25k-50k,2,E-Pharmacy,Every 2-3 months,5,4,Pediatrician,0.644,False,Not currently buying
CON00012,0-12 months,North,T1,30-34,>1L,3,Pharmacy Chain,Every 2-3 months,3,3,Online/Social media,0.653,True,Other brand
CON00013,1-5 years,West,T1,25-29,50k-1L,3,E-Pharmacy,Every 2-3 months,4,5,Pediatrician,0.617,False,Not currently buying
CON00014,1-5 years,South,T3,30-34,<25k,3,Retail Chemist,Occasionally,4,5,Pediatrician,0.454,False,DePURA Kids
CON00015,1-5 years,South,T1,30-34,>1L,5,E-Pharmacy,One-time,3,4,Pediatrician,0.203,False,Other brand
CON00016,0-12 months,North,T2,25-29,>1L,4,E-Pharmacy,Occasionally,2,3,Pharmacist,0.494,False,Other brand
CON00017,0-12 months,Central,T3,25-29,<25k,4,E-Pharmacy,Occasionally,4,4,Pediatrician,0.452,False,DePURA Kids
CON00018,1-5 years,North,T1,25-29,50k-1L,5,Pharmacy Chain,Monthly,3,2,Online/Social media,0.723,True,Not currently buying
CON00019,1-5 years,North,T2,25-29,50k-1L,3,Hospital Pharmacy,Every 2-3 months,3,4,Pharmacist,0.577,False,Not currently buying
CON00020,13-18 years,West,T1,40+,>1L,3,Retail Chemist,Monthly,1,3,Pediatrician,0.717,True,Other brand
CON00021,6-12 years,South,T2,35-39,50k-1L,5,Pharmacy Chain,Every 2-3 months,4,4,Pediatrician,0.562,False,Not currently buying
CON00022,0-12 months,South,T1,18-24,50k-1L,2,Pharmacy Chain,Every 2-3 months,3,4,Family/Friends,0.619,False,Other brand
CON00023,6-12 years,North,T2,40+,>1L,5,Retail Chemist,Monthly,3,3,Pediatrician,0.809,False,Other brand
CON00024,6-12 years,North,T2,35-39,25k-50k,4,Quick Commerce,Occasionally,3,4,Family/Friends,0.422,False,Other brand
CON00025,0-12 months,North,T2,25-29,<25k,5,Retail Chemist,Occasionally,3,4,Pediatrician,0.499,False,Other brand
CON00026,6-12 years,Central,T3,35-39,50k-1L,5,Hospital Pharmacy,Every 2-3 months,3,3,Pediatrician,0.573,True,Other brand
CON00027,6-12 years,North,T1,30-34,<25k,3,E-Pharmacy,Monthly,4,3,Pediatrician,0.706,False,Other brand
CON00028,1-5 years,South,T1,30-34,50k-1L,4,Retail Chemist,Occasionally,3,4,Pediatrician,0.359,False,Other brand
CON00029,1-5 years,South,T1,30-34,>1L,3,E-Pharmacy,Every 2-3 months,4,5,Pediatrician,0.648,False,Other brand
CON00030,1-5 years,South,T1,35-39,25k-50k,3,Retail Chemist,Every 2-3 months,4,3,Family/Friends,0.552,True,Not currently buying
CON00031,1-5 years,West,T1,30-34,>1L,5,E-Pharmacy,Every 2-3 months,1,4,Pediatrician,0.664,False,DePURA Kids
CON00032,1-5 years,Central,T3,30-34,<25k,5,Retail Chemist,Every 2-3 months,3,5,Pediatrician,0.651,False,Not currently buying
CON00033,1-5 years,West,T1,30-34,>1L,4,Quick Commerce,Every 2-3 months,2,4,Pediatrician,0.573,False,Not currently buying
CON00034,6-12 years,West,T1,30-34,>1L,4,Pharmacy Chain,Occasionally,2,3,Online/Social media,0.478,False,Other brand
CON00035,1-5 years,North,T1,35-39,25k-50k,4,Hospital Pharmacy,Occasionally,5,3,Online/Social media,0.415,False,Not currently buying
CON00036,6-12 years,North,T2,25-29,>1L,4,Retail Chemist,Every 2-3 months,3,4,Online/Social media,0.658,False,Not currently buying
CON00037,0-12 months,North,T1,35-39,25k-50k,2,E-Pharmacy,Every 2-3 months,2,3,Gynecologist,0.575,True,Other brand
CON00038,13-18 years,South,T1,30-34,>1L,5,Retail Chemist,Every 2-3 months,2,5,Pediatrician,0.683,False,Other brand
CON00039,0-12 months,South,T2,30-34,>1L,4,Retail Chemist,Monthly,1,4,Pediatrician,0.963,False,Other brand
CON00040,0-12 months,East,T2,40+,<25k,4,Retail Chemist,Every 2-3 months,3,4,Gynecologist,0.61,False,Other brand
CON00041,0-12 months,South,T1,18-24,50k-1L,2,Retail Chemist,Monthly,3,4,Pediatrician,0.824,True,Other brand
CON00042,1-5 years,East,T1,40+,>1L,2,E-Pharmacy,One-time,3,4,Family/Friends,0.249,False,Other brand
CON00043,1-5 years,West,T1,35-39,>1L,5,Retail Chemist,Occasionally,2,4,Pediatrician,0.447,False,DePURA Kids
CON00044,1-5 years,South,T2,25-29,<25k,5,Retail Chemist,Occasionally,3,5,Pediatrician,0.457,True,Other brand
CON00045,1-5 years,North,T2,40+,50k-1L,1,Retail Chemist,Monthly,3,4,Pharmacist,0.786,False,DePURA Kids
CON00046,0-12 months,Central,T3,35-39,50k-1L,5,Retail Chemist,Monthly,4,3,Pediatrician,0.817,False,Other brand
CON00047,6-12 years,West,T1,30-34,50k-1L,4,Retail Chemist,Occasionally,2,3,Gynecologist,0.44,False,Other brand
CON00048,0-12 months,South,T1,25-29,<25k,4,Quick Commerce,Monthly,4,4,Pediatrician,0.817,False,DePURA Kids
CON00049,1-5 years,South,T1,30-34,50k-1L,4,Pharmacy Chain,Monthly,3,3,Pediatrician,0.855,False,Other brand
CON00050,0-12 months,South,T1,35-39,>1L,2,Pharmacy Chain,Monthly,1,3,Pediatrician,0.94,False,DePURA Kids
CON00051,1-5 years,North,T2,35-39,25k-50k,4,Retail Chemist,Monthly,4,5,Pediatrician,0.745,False,Other brand
CON00052,1-5 years,East,T3,35-39,25k-50k,3,Hospital Pharmacy,Occasionally,4,5,Online/Social media,0.364,False,Other brand
CON00053,0-12 months,West,T1,30-34,>1L,2,Hospital Pharmacy,Monthly,2,5,Pediatrician,0.765,False,Other brand
CON00054,1-5 years,North,T1,35-39,>1L,5,Pharmacy Chain,Occasionally,2,5,Pediatrician,0.374,False,Not currently buying
