territory_id,territory,state,region,city_tier,hcp_count,pharmacy_count,current_sales,market_potential,brand_awareness,competitor_strength,sales_force_coverage,growth_rate,stock_availability_avg
TR01,Delhi North,Delhi,North,T1,749,5457,42.73,207.1,0.738,0.577,0.707,0.0673,0.948
TR02,Delhi South,Delhi,North,T1,512,3858,24.5,144.2,0.742,0.763,0.705,0.0616,0.715
TR03,Noida-Ghaziabad,Uttar Pradesh,North,T2,266,1426,9.02,55.32,0.762,0.483,0.532,0.0594,0.863
TR04,Gurugram-Faridabad,Haryana,North,T2,371,2194,9.32,81.21,0.758,0.602,0.659,0.0961,0.872
TR05,Lucknow,Uttar Pradesh,North,T2,269,2002,9.57,57.0,0.705,0.524,0.589,0.0038,0.768
TR06,Kanpur-Agra,Uttar Pradesh,North,T2,195,1454,9.86,56.14,0.738,0.436,0.426,0.0067,0.68
TR07,Varanasi-Gorakhpur,Uttar Pradesh,North,T3,136,894,1.81,20.53,0.638,0.6,0.341,0.0474,0.644
TR08,Chandigarh-Mohali,Chandigarh,North,T2,233,1775,8.11,60.67,0.821,0.36,0.717,-0.064,0.709
TR09,Ludhiana-Amritsar,Punjab,North,T2,324,1954,7.11,50.73,0.735,0.74,0.509,0.0793,0.779
TR10,Jaipur,Rajasthan,North,T2,256,2172,2.99,43.57,0.644,0.595,0.599,0.0805,0.684
TR11,Dehradun,Uttarakhand,North,T3,221,1299,4.16,44.07,0.62,0.408,0.449,-0.0091,0.788
TR12,Mumbai West,Maharashtra,West,T1,529,3141,10.5,101.25,0.724,0.402,0.315,0.0858,0.901
TR13,Mumbai Thane,Maharashtra,West,T1,538,3990,31.35,128.57,0.73,0.396,0.349,0.0611,0.946
TR14,Pune,Maharashtra,West,T1,660,3102,24.85,152.02,0.759,0.396,0.698,0.1085,0.74
TR15,Nagpur,Maharashtra,West,T2,322,2763,8.19,64.81,0.66,0.551,0.55,0.0706,0.817
TR16,Ahmedabad,Gujarat,West,T1,799,4741,24.67,146.62,0.743,0.531,0.329,0.0326,0.944
TR17,Surat-Vadodara,Gujarat,West,T2,163,1251,8.16,39.92,0.782,0.372,0.83,0.0824,0.664
TR18,Rajkot,Gujarat,West,T3,269,2194,6.26,45.8,0.619,0.368,0.612,0.0274,0.714
TR19,Indore,Madhya Pradesh,Central,T2,298,2097,14.01,68.04,0.641,0.463,0.745,0.031,0.678
TR20,Bhopal,Madhya Pradesh,Central,T2,195,1403,4.53,28.22,0.706,0.508,0.486,0.0104,0.679
TR21,Jabalpur,Madhya Pradesh,Central,T3,156,1182,4.54,27.89,0.793,0.539,0.311,0.0822,0.896
TR22,Raipur,Chhattisgarh,Central,T3,250,1871,8.85,52.04,0.731,0.115,0.559,0.0837,0.779
TR23,Bengaluru North,Karnataka,South,T1,542,3368,31.13,116.65,0.78,0.775,0.661,0.0205,0.917
TR24,Bengaluru South,Karnataka,South,T1,697,4617,34.75,165.86,0.805,0.551,0.371,0.0129,0.948
TR25,Mysuru-Mangaluru,Karnataka,South,T3,205,1175,4.02,32.1,0.669,0.318,0.818,0.0631,0.753
TR26,Chennai,Tamil Nadu,South,T1,633,4604,23.77,165.93,0.638,0.801,0.322,0.0128,0.835
TR27,Coimbatore-Madurai,Tamil Nadu,South,T2,341,2326,13.11,76.62,0.778,0.341,0.339,0.0793,0.876
TR28,Hyderabad,Telangana,South,T1,706,3063,36.92,156.16,0.75,0.279,0.76,0.0118,0.893
TR29,Vijayawada-Vizag,Andhra Pradesh,South,T2,283,1985,5.0,47.3,0.585,0.508,0.316,0.0047,0.817
TR30,Kochi-Trivandrum,Kerala,South,T2,251,1959,13.73,65.33,0.747,0.441,0.716,0.0742,0.803
TR31,Kolkata,West Bengal,East,T1,609,5441,21.73,175.89,0.824,0.779,0.713,-0.0119,0.935
TR32,Siliguri-Durgapur,West Bengal,East,T3,228,1457,4.54,38.31,0.787,0.293,0.676,0.0197,0.805
TR33,Patna,Bihar,East,T2,282,1755,7.17,33.32,0.717,0.554,0.632,0.1409,0.821
TR34,Ranchi,Jharkhand,East,T3,259,1652,4.28,38.99,0.624,0.661,0.33,0.1016,0.753
TR35,Bhubaneswar,Odisha,East,T2,207,1605,6.77,43.48,0.6,0.552,0.385,0.0341,0.856
TR36,Guwahati,Assam,East,T2,298,2421,11.28,62.25,0.71,0.491,0.782,0.011,0.807
