consumer_id,child_age_group,region,city_tier,awareness,price_sensitivity,brand_trust,adherence_score,current_brand,consumer_segment
CON00001,0-12 months,North,T1,3,2.0,4,0.556,Other brand,Mainstream
CON00002,6-12 years,South,T1,2,3.0,4,0.51,Other brand,Low-awareness
CON00003,0-12 months,West,T1,4,4.0,4,0.61,Other brand,Price-sensitive
CON00004,0-12 months,West,T2,3,3.0,5,0.581,Not currently buying,Mainstream
CON00005,6-12 years,West,T1,4,3.0,5,0.434,Not currently buying,Convenience-driven
CON00006,6-12 years,West,T1,4,1.0,5,0.476,Other brand,Convenience-driven
CON00007,0-12 months,Central,T2,5,4.0,5,0.647,DePURA Kids,Price-sensitive
CON00008,1-5 years,North,T2,5,4.0,3,0.695,Other brand,Price-sensitive
CON00009,0-12 months,East,T1,4,3.0,3,0.69,DePURA Kids,Convenience-driven
CON00010,1-5 years,South,T2,4,2.0,4,0.69,Other brand,Mainstream
CON00011,0-12 months,North,T2,2,5.0,4,0.644,Not currently buying,Low-awareness
CON00012,0-12 months,North,T1,3,3.0,3,0.653,Other brand,Mainstream
CON00013,1-5 years,West,T1,3,4.0,5,0.617,Not currently buying,Price-sensitive
CON00014,1-5 years,South,T3,3,4.0,5,0.454,DePURA Kids,Price-sensitive
CON00015,1-5 years,South,T1,5,3.0,4,0.203,Other brand,Convenience-driven
CON00016,0-12 months,North,T2,4,2.0,3,0.494,Other brand,Convenience-driven
CON00017,0-12 months,Central,T3,4,4.0,4,0.452,DePURA Kids,Price-sensitive
CON00018,1-5 years,North,T1,5,3.0,2,0.723,Not currently buying,Mainstream
CON00019,1-5 years,North,T2,3,3.0,4,0.577,Not currently buying,Mainstream
CON00020,13-18 years,West,T1,3,1.0,3,0.717,Other brand,Mainstream
CON00021,6-12 years,South,T2,5,4.0,4,0.562,Not currently buying,Price-sensitive
CON00022,0-12 months,South,T1,2,3.0,4,0.619,Other brand,Low-awareness
CON00023,6-12 years,North,T2,5,3.0,3,0.809,Other brand,Mainstream
CON00024,6-12 years,North,T2,4,3.0,4,0.422,Other brand,Convenience-driven
CON00025,0-12 months,North,T2,5,3.0,4,0.499,Other brand,Mainstream
CON00026,6-12 years,Central,T3,5,3.0,3,0.573,Other brand,Mainstream
CON00027,6-12 years,North,T1,3,4.0,3,0.706,Other brand,Price-sensitive
CON00028,1-5 years,South,T1,4,3.0,4,0.359,Other brand,Mainstream
CON00029,1-5 years,South,T1,3,4.0,5,0.648,Other brand,Price-sensitive
CON00030,1-5 years,South,T1,3,4.0,3,0.552,Not currently buying,Price-sensitive
CON00031,1-5 years,West,T1,5,1.0,4,0.664,DePURA Kids,Convenience-driven
CON00032,1-5 years,Central,T3,5,3.0,5,0.651,Not currently buying,Mainstream
CON00033,1-5 years,West,T1,4,2.0,4,0.573,Not currently buying,Convenience-driven
CON00034,6-12 years,West,T1,4,2.0,3,0.478,Other brand,Mainstream
CON00035,1-5 years,North,T1,4,5.0,3,0.415,Not currently buying,Price-sensitive
CON00036,6-12 years,North,T2,4,3.0,4,0.658,Not currently buying,Mainstream
CON00037,0-12 months,North,T1,2,2.0,3,0.575,Other brand,Low-awareness
CON00038,13-18 years,South,T1,5,2.0,5,0.683,Other brand,Mainstream
CON00039,0-12 months,South,T2,4,1.0,4,0.963,Other brand,Health-conscious
CON00040,0-12 months,East,T2,4,3.0,4,0.61,Other brand,Mainstream
CON00041,0-12 months,South,T1,2,3.0,4,0.824,Other brand,Low-awareness
CON00042,1-5 years,East,T1,2,3.0,4,0.249,Other brand,Low-awareness
CON00043,1-5 years,West,T1,5,2.0,4,0.447,DePURA Kids,Mainstream
CON00044,1-5 years,South,T2,5,3.0,5,0.457,Other brand,Mainstream
CON00045,1-5 years,North,T2,1,3.0,4,0.786,DePURA Kids,Low-awareness
CON00046,0-12 months,Central,T3,5,4.0,3,0.817,Other brand,Price-sensitive
CON00047,6-12 years,West,T1,4,2.0,3,0.44,Other brand,Mainstream
CON00048,0-12 months,South,T1,4,4.0,4,0.817,DePURA Kids,Price-sensitive
CON00049,1-5 years,South,T1,4,3.0,3,0.855,Other brand,Mainstream
CON00050,0-12 months,South,T1,2,1.0,3,0.94,DePURA Kids,Low-awareness
CON00051,1-5 years,North,T2,4,4.0,5,0.745,Other brand,Price-sensitive
CON00052,1-5 years,East,T3,3,4.0,5,0.364,Other brand,Price-sensitive
CON00053,0-12 months,West,T1,2,2.0,5,0.765,Other brand,Low-awareness
CON00054,1-5 years,North,T1,5,2.0,5,0.374,Not currently buying,Mainstream
CON00055,0-12 months,West,T2,4,4.0,3,0.758,Other brand,Price-sensitive
CON00056,0-12 months,North,T1,4,2.0,3,0.861,DePURA Kids,Mainstream
CON00057,6-12 years,South,T1,5,3.0,2,0.556,DePURA Kids,Convenience-driven
CON00058,0-12 months,North,T3,4,4.0,4,0.723,Other brand,Price-sensitive
CON00059,13-18 years,South,T2,4,3.0,2,0.86,Other brand,Mainstream
CON00060,6-12 years,East,T3,4,3.0,4,0.854,Other brand,Health-conscious
CON00061,13-18 years,South,T1,5,5.0,3,0.473,DePURA Kids,Price-sensitive
CON00062,1-5 years,South,T3,3,4.0,3,0.437,Other brand,Price-sensitive
CON00063,0-12 months,West,T1,2,,4,0.579,Other brand,Low-awareness
CON00064,0-12 months,North,T1,4,3.0,3,0.586,Other brand,Convenience-driven
CON00065,1-5 years,West,T1,4,5.0,3,0.792,Other brand,Price-sensitive
CON00066,1-5 years,West,T1,3,3.0,5,0.423,Not currently buying,Mainstream
CON00067,0-12 months,West,T2,3,2.0,3,0.71,Other brand,Mainstream
CON00068,0-12 months,South,T1,3,4.0,3,0.524,Other brand,Price-sensitive
CON00069,1-5 years,Central,T2,2,3.0,3,0.623,Not currently buying,Low-awareness
CON00070,0-12 months,East,T3,4,5.0,5,0.505,DePURA Kids,Price-sensitive
CON00071,1-5 years,South,T1,3,5.0,2,0.671,Other brand,Price-sensitive
CON00072,0-12 months,South,T1,4,3.0,4,0.861,DePURA Kids,Convenience-driven
CON00073,1-5 years,East,T3,5,5.0,4,0.45,DePURA Kids,Price-sensitive
CON00074,0-12 months,West,T3,3,5.0,4,0.777,Other brand,Price-sensitive
CON00075,0-12 months,East,T2,2,4.0,4,0.875,Not currently buying,Low-awareness
CON00076,0-12 months,West,T1,4,5.0,3,0.441,Not currently buying,Price-sensitive
CON00077,0-12 months,West,T1,5,4.0,3,0.973,Other brand,Price-sensitive
CON00078,6-12 years,South,T1,3,3.0,2,0.489,Other brand,Mainstream
CON00079,0-12 months,South,T2,3,4.0,5,0.548,Other brand,Price-sensitive
CON00080,0-12 months,West,T1,4,3.0,3,0.813,Other brand,Convenience-driven
CON00081,0-12 months,South,T1,4,2.0,5,0.732,Other brand,Convenience-driven
CON00082,1-5 years,East,T1,3,4.0,4,0.319,Other brand,Price-sensitive
CON00083,6-12 years,North,T1,4,3.0,2,0.608,Other brand,Convenience-driven
CON00084,6-12 years,South,T1,4,2.0,2,0.749,DePURA Kids,Convenience-driven
CON00085,6-12 years,West,T1,3,2.0,3,0.742,Other brand,Convenience-driven
CON00086,0-12 months,East,T3,3,4.0,4,1.0,Other brand,Price-sensitive
CON00087,0-12 months,North,T2,5,2.0,4,0.959,Other brand,Convenience-driven
CON00088,1-5 years,South,T1,5,4.0,5,0.589,Other brand,Price-sensitive
CON00089,6-12 years,South,T1,4,3.0,4,0.642,Other brand,Convenience-driven
CON00090,0-12 months,North,T2,3,4.0,4,0.908,Other brand,Price-sensitive
CON00091,13-18 years,East,T1,3,4.0,3,0.352,Other brand,Price-sensitive
CON00092,0-12 months,West,T1,5,1.0,4,0.886,DePURA Kids,Health-conscious
CON00093,0-12 months,North,T1,3,5.0,3,0.76,Other brand,Price-sensitive
CON00094,13-18 years,South,T1,3,4.0,4,0.396,Other brand,Price-sensitive
