hcp_id,specialty,territory_id,region,city_tier,years_in_practice,monthly_patient_volume,category_awareness,brand_awareness,recommendation_rate,digital_engagement,rep_visits_last_quarter,pre_recall_prescriber,competitor_preference
HCP00001,Obstetrician-Gynecologist,TR29,South,T2,12,89.0,4,1,0.026,0.673,3,False,Arachitol Kids
HCP00002,Obstetrician-Gynecologist,TR33,East,T2,6,194.0,4,3,0.041,0.649,8,False,Ultra D3
HCP00003,Obstetrician-Gynecologist,TR27,South,T2,17,159.0,4,4,0.115,0.579,2,False,Other / Generic
HCP00004,Obstetrician-Gynecologist,TR17,West,T2,29,169.0,5,3,0.166,0.145,10,False,Uprise-D3
HCP00005,General Practitioner,TR11,North,T3,14,55.0,4,2,0.038,0.584,5,False,Uprise-D3
HCP00006,Pediatrician,TR19,Central,T2,19,318.0,4,4,0.349,0.489,7,True,D3 Must Forte
HCP00007,Pediatrician,TR15,West,T2,38,325.0,4,5,0.154,0.115,6,False,Arachitol Kids
HCP00008,General Practitioner,TR31,East,T1,8,157.0,4,4,0.051,0.454,10,False,Arachitol Kids
HCP00009,General Practitioner,TR22,Central,T3,17,141.0,5,4,0.202,0.564,12,False,Kidrich D3 Nano
HCP00010,Pediatrician,TR14,West,T1,6,447.0,5,5,0.397,0.57,2,True,Arachitol Kids
HCP00011,Pediatrician,TR18,West,T3,21,113.0,5,3,0.133,0.327,11,False,Uprise-D3
HCP00012,Neonatologist,TR33,East,T2,11,140.0,5,3,0.213,0.637,5,True,Arachitol Kids
HCP00013,Pediatrician,TR23,South,T1,11,462.0,4,5,0.546,0.541,9,False,Arachitol Kids
HCP00014,Pediatrician,TR09,North,T2,23,310.0,5,5,0.519,0.551,6,True,Arachitol Kids
HCP00015,General Practitioner,TR18,West,T3,18,251.0,4,3,0.153,0.557,4,False,Ultra D3
HCP00016,Pediatrician,TR16,West,T1,26,300.0,4,5,0.218,0.58,6,False,Uprise-D3
HCP00017,Pediatrician,TR13,West,T1,19,130.0,5,5,0.425,0.517,4,False,Arachitol Kids
HCP00018,General Practitioner,TR26,South,T1,18,137.0,4,4,0.201,0.496,4,True,Arachitol Kids
HCP00019,Neonatologist,TR12,West,T1,17,233.0,5,2,0.125,0.444,6,True,Arachitol Kids
HCP00020,Pediatrician,TR17,West,T2,11,163.0,4,5,0.759,0.777,6,True,No alternative (DePURA loyal)
HCP00021,Pediatrician,TR16,West,T1,13,371.0,4,4,0.285,0.664,4,False,Arachitol Kids
HCP00022,Pediatrician,TR16,West,T1,14,434.0,3,5,0.438,0.529,8,False,D3 Must Forte
HCP00023,General Practitioner,TR22,Central,T3,16,212.0,4,4,0.32,0.135,4,True,D3 Must Forte
HCP00024,Pediatrician,TR25,South,T3,5,403.0,5,5,0.609,0.733,7,False,No alternative (DePURA loyal)
HCP00025,Pediatrician,TR04,North,T2,6,652.0,4,4,0.073,0.777,4,False,Uprise-D3
HCP00026,General Practitioner,TR12,West,T1,21,211.0,4,3,0.074,0.672,0,False,Arachitol Kids
HCP00027,Neonatologist,TR28,South,T1,4,215.0,5,5,0.43,0.595,6,True,Arachitol Kids
HCP00028,Pediatrician,TR32,East,T3,12,149.0,5,4,0.475,0.609,10,True,Arachitol Kids
HCP00029,General Practitioner,TR01,North,T1,3,98.0,3,4,0.078,0.765,8,False,Uprise-D3
HCP00030,General Practitioner,TR02,North,T1,17,253.0,2,3,0.02,0.53,7,False,D3 Must Forte
HCP00031,Pediatrician,TR33,East,T2,30,761.0,4,5,0.451,0.541,11,True,Other / Generic
HCP00032,Obstetrician-Gynecologist,TR05,North,T2,17,87.0,4,4,0.189,0.635,1,True,Arachitol Kids
HCP00033,Pediatrician,TR36,East,T2,7,221.0,5,4,0.427,0.752,5,False,D3 Must Forte
HCP00034,Pediatrician,TR29,South,T2,13,178.0,4,2,0.153,0.618,7,True,Other / Generic
HCP00035,Pediatrician,TR04,North,T2,28,129.0,5,2,0.221,0.38,8,True,Uprise-D3
HCP00036,Pediatrician,TR03,North,T2,20,622.0,5,5,0.607,0.375,13,True,No alternative (DePURA loyal)
HCP00037,General Practitioner,TR35,East,T2,40,117.0,3,3,0.031,0.289,2,False,Kidrich D3 Nano
HCP00038,General Practitioner,TR11,North,T3,14,235.0,3,2,0.022,0.512,5,False,Uprise-D3
HCP00039,General Practitioner,TR20,Central,T2,31,158.0,4,3,0.21,0.556,7,False,Arachitol Kids
HCP00040,General Practitioner,TR10,North,T2,17,76.0,3,5,0.149,0.378,9,False,Kidrich D3 Nano
HCP00041,Pediatrician,TR23,South,T1,6,473.0,5,3,0.491,0.463,6,True,Uprise-D3
HCP00042,Neonatologist,TR30,South,T2,4,211.0,4,4,0.369,0.722,8,True,Arachitol Kids
HCP00043,Obstetrician-Gynecologist,TR24,South,T1,10,73.0,5,3,0.053,0.737,3,False,Ultra D3
