hcp_id,specialty,territory_id,region,city_tier,monthly_patient_volume,recommendation_rate,digital_engagement,pre_recall_prescriber,hcp_segment
HCP00001,Obstetrician-Gynecologist,TR29,South,T2,89.0,0.026,0.673,False,Low-opportunity
HCP00002,Obstetrician-Gynecologist,TR33,East,T2,194.0,0.041,0.649,False,High-volume non/under-user
HCP00003,Obstetrician-Gynecologist,TR27,South,T2,159.0,0.115,0.579,False,High-volume non/under-user
HCP00004,Obstetrician-Gynecologist,TR17,West,T2,169.0,0.166,0.145,False,High-volume non/under-user
HCP00005,General Practitioner,TR11,North,T3,55.0,0.038,0.584,False,Low-opportunity
HCP00006,Pediatrician,TR19,Central,T2,318.0,0.349,0.489,True,Low-opportunity
HCP00007,Pediatrician,TR15,West,T2,325.0,0.154,0.115,False,Low-opportunity
HCP00008,General Practitioner,TR31,East,T1,157.0,0.051,0.454,False,Low-opportunity
HCP00009,General Practitioner,TR22,Central,T3,141.0,0.202,0.564,False,Low-opportunity
HCP00010,Pediatrician,TR14,West,T1,447.0,0.397,0.57,True,High-volume non/under-user
HCP00011,Pediatrician,TR18,West,T3,113.0,0.133,0.327,False,Low-opportunity
HCP00012,Neonatologist,TR33,East,T2,140.0,0.213,0.637,True,Low-opportunity
HCP00013,Pediatrician,TR23,South,T1,462.0,0.546,0.541,False,High-volume advocate
HCP00014,Pediatrician,TR09,North,T2,310.0,0.519,0.551,True,Low-opportunity
HCP00015,General Practitioner,TR18,West,T3,251.0,0.153,0.557,False,High-volume non/under-user
HCP00016,Pediatrician,TR16,West,T1,300.0,0.218,0.58,False,Low-opportunity
HCP00017,Pediatrician,TR13,West,T1,130.0,0.425,0.517,False,Low-opportunity
HCP00018,General Practitioner,TR26,South,T1,137.0,0.201,0.496,True,Low-opportunity
HCP00019,Neonatologist,TR12,West,T1,233.0,0.125,0.444,True,Low-opportunity
HCP00020,Pediatrician,TR17,West,T2,163.0,0.759,0.777,True,Low-opportunity
HCP00021,Pediatrician,TR16,West,T1,371.0,0.285,0.664,False,Emerging
HCP00022,Pediatrician,TR16,West,T1,434.0,0.438,0.529,False,High-volume advocate
HCP00023,General Practitioner,TR22,Central,T3,212.0,0.32,0.135,True,High-volume non/under-user
HCP00024,Pediatrician,TR25,South,T3,403.0,0.609,0.733,False,Emerging
HCP00025,Pediatrician,TR04,North,T2,652.0,0.073,0.777,False,High-volume non/under-user
HCP00026,General Practitioner,TR12,West,T1,211.0,0.074,0.672,False,High-volume non/under-user
HCP00027,Neonatologist,TR28,South,T1,215.0,0.43,0.595,True,Low-opportunity
HCP00028,Pediatrician,TR32,East,T3,149.0,0.475,0.609,True,Low-opportunity
HCP00029,General Practitioner,TR01,North,T1,98.0,0.078,0.765,False,Low-opportunity
HCP00030,General Practitioner,TR02,North,T1,253.0,0.02,0.53,False,High-volume non/under-user
HCP00031,Pediatrician,TR33,East,T2,761.0,0.451,0.541,True,High-volume advocate
HCP00032,Obstetrician-Gynecologist,TR05,North,T2,87.0,0.189,0.635,True,Low-opportunity
