date,territory_id,territory,region,state,city_tier,channel,product,units_sold,revenue,discount_pct,stock_availability,distributor_count,market_phase
2023-01-01,TR01,Delhi North,North,Delhi,T1,E-Pharmacy,DePURA Kids 10 ml,110,9030.46,0.1313,0.978,16,pre_recall
2023-01-01,TR01,Delhi North,North,Delhi,T1,E-Pharmacy,DePURA Kids 15 ml,505,56739.74,0.1552,1.0,16,pre_recall
2023-01-01,TR01,Delhi North,North,Delhi,T1,Hospital Pharmacy,DePURA Kids 10 ml,84,7938.0,0.0,0.879,16,pre_recall
2023-01-01,TR01,Delhi North,North,Delhi,T1,Hospital Pharmacy,DePURA Kids 15 ml,427,55045.12,0.0307,0.979,16,pre_recall
2023-01-01,TR01,Delhi North,North,Delhi,T1,Pharmacy Chain,DePURA Kids 10 ml,112,9990.13,0.0561,0.92,16,pre_recall
2023-01-01,TR01,Delhi North,North,Delhi,T1,Pharmacy Chain,DePURA Kids 15 ml,506,61158.63,0.0912,0.921,16,pre_recall
2023-01-01,TR01,Delhi North,North,Delhi,T1,Retail Chemist,DePURA Kids 10 ml,369,33595.46,0.0366,0.944,16,pre_recall
2023-01-01,TR01,Delhi North,North,Delhi,T1,Retail Chemist,DePURA Kids 15 ml,1848,233989.56,0.048,0.953,16,pre_recall
2023-01-01,TR02,Delhi South,North,Delhi,T1,E-Pharmacy,DePURA Kids 10 ml,85,6852.17,0.1469,0.935,12,pre_recall
2023-01-01,TR02,Delhi South,North,Delhi,T1,E-Pharmacy,DePURA Kids 15 ml,373,43011.61,0.133,0.862,12,pre_recall
2023-01-01,TR02,Delhi South,North,Delhi,T1,Hospital Pharmacy,DePURA Kids 10 ml,106,9816.5,0.02,0.921,12,pre_recall
2023-01-01,TR02,Delhi South,North,Delhi,T1,Hospital Pharmacy,DePURA Kids 15 ml,440,57743.9,0.0133,0.927,12,pre_recall
2023-01-01,TR02,Delhi South,North,Delhi,T1,Pharmacy Chain,DePURA Kids 10 ml,147,12749.5,0.0822,0.953,12,pre_recall
2023-01-01,TR02,Delhi South,North,Delhi,T1,Pharmacy Chain,DePURA Kids 15 ml,660,81162.35,0.0754,0.934,12,pre_recall
2023-01-01,TR02,Delhi South,North,Delhi,T1,Retail Chemist,DePURA Kids 10 ml,337,30567.09,0.0402,0.898,12,pre_recall
2023-01-01,TR02,Delhi South,North,Delhi,T1,Retail Chemist,DePURA Kids 15 ml,1174,154242.58,0.0122,0.977,12,pre_recall
2023-01-01,TR03,Noida-Ghaziabad,North,Uttar Pradesh,T2,E-Pharmacy,DePURA Kids 10 ml,27,2163.56,0.152,0.945,5,pre_recall
2023-01-01,TR03,Noida-Ghaziabad,North,Uttar Pradesh,T2,E-Pharmacy,DePURA Kids 15 ml,85,9877.02,0.1263,0.877,5,pre_recall
2023-01-01,TR03,Noida-Ghaziabad,North,Uttar Pradesh,T2,Hospital Pharmacy,DePURA Kids 10 ml,39,3610.03,0.0205,0.915,5,pre_recall
2023-01-01,TR03,Noida-Ghaziabad,North,Uttar Pradesh,T2,Hospital Pharmacy,DePURA Kids 15 ml,117,15561.0,0.0,0.918,5,pre_recall
2023-01-01,TR03,Noida-Ghaziabad,North,Uttar Pradesh,T2,Pharmacy Chain,DePURA Kids 10 ml,36,3142.27,0.0763,0.93,5,pre_recall
2023-01-01,TR03,Noida-Ghaziabad,North,Uttar Pradesh,T2,Pharmacy Chain,DePURA Kids 15 ml,116,14275.78,0.0747,0.895,5,pre_recall
2023-01-01,TR03,Noida-Ghaziabad,North,Uttar Pradesh,T2,Retail Chemist,DePURA Kids 10 ml,146,13299.31,0.0361,0.904,5,pre_recall
2023-01-01,TR03,Noida-Ghaziabad,North,Uttar Pradesh,T2,Retail Chemist,DePURA Kids 15 ml,387,49597.93,0.0364,0.925,5,pre_recall
2023-01-01,TR04,Gurugram-Faridabad,North,Haryana,T2,E-Pharmacy,DePURA Kids 10 ml,30,2424.74,0.1447,0.939,8,pre_recall
2023-01-01,TR04,Gurugram-Faridabad,North,Haryana,T2,E-Pharmacy,DePURA Kids 15 ml,76,8736.01,0.1357,0.961,8,pre_recall
2023-01-01,TR04,Gurugram-Faridabad,North,Haryana,T2,Hospital Pharmacy,DePURA Kids 10 ml,26,2444.99,0.0049,0.869,8,pre_recall
2023-01-01,TR04,Gurugram-Faridabad,North,Haryana,T2,Hospital Pharmacy,DePURA Kids 15 ml,86,11292.22,0.0127,0.971,8,pre_recall
2023-01-01,TR04,Gurugram-Faridabad,North,Haryana,T2,Pharmacy Chain,DePURA Kids 10 ml,34,2971.79,0.0751,0.907,8,pre_recall
2023-01-01,TR04,Gurugram-Faridabad,North,Haryana,T2,Pharmacy Chain,DePURA Kids 15 ml,117,14391.4,0.0752,0.918,8,pre_recall
2023-01-01,TR04,Gurugram-Faridabad,North,Haryana,T2,Retail Chemist,DePURA Kids 10 ml,155,13926.44,0.0492,0.92,8,pre_recall
2023-01-01,TR04,Gurugram-Faridabad,North,Haryana,T2,Retail Chemist,DePURA Kids 15 ml,453,55956.65,0.0712,0.965,8,pre_recall
2023-01-01,TR05,Lucknow,North,Uttar Pradesh,T2,E-Pharmacy,DePURA Kids 10 ml,24,1950.23,0.1401,0.907,6,pre_recall
2023-01-01,TR05,Lucknow,North,Uttar Pradesh,T2,E-Pharmacy,DePURA Kids 15 ml,86,9619.52,0.159,0.923,6,pre_recall
2023-01-01,TR05,Lucknow,North,Uttar Pradesh,T2,Hospital Pharmacy,DePURA Kids 10 ml,41,3721.88,0.0394,0.925,6,pre_recall
2023-01-01,TR05,Lucknow,North,Uttar Pradesh,T2,Hospital Pharmacy,DePURA Kids 15 ml,110,14480.13,0.0102,0.837,6,pre_recall
2023-01-01,TR05,Lucknow,North,Uttar Pradesh,T2,Pharmacy Chain,DePURA Kids 10 ml,39,3357.12,0.0891,0.884,6,pre_recall
2023-01-01,TR05,Lucknow,North,Uttar Pradesh,T2,Pharmacy Chain,DePURA Kids 15 ml,125,15085.0,0.0926,0.91,6,pre_recall
2023-01-01,TR05,Lucknow,North,Uttar Pradesh,T2,Retail Chemist,DePURA Kids 10 ml,145,13321.46,0.0278,0.903,6,pre_recall
2023-01-01,TR05,Lucknow,North,Uttar Pradesh,T2,Retail Chemist,DePURA Kids 15 ml,644,82900.67,0.0321,0.929,6,pre_recall
2023-01-01,TR06,Kanpur-Agra,North,Uttar Pradesh,T2,E-Pharmacy,DePURA Kids 10 ml,31,2505.52,0.1447,1.0,5,pre_recall
2023-01-01,TR06,Kanpur-Agra,North,Uttar Pradesh,T2,E-Pharmacy,DePURA Kids 15 ml,132,14828.61,0.1554,1.0,5,pre_recall
2023-01-01,TR06,Kanpur-Agra,North,Uttar Pradesh,T2,Hospital Pharmacy,DePURA Kids 10 ml,52,4819.56,0.0192,0.966,5,pre_recall
2023-01-01,TR06,Kanpur-Agra,North,Uttar Pradesh,T2,Hospital Pharmacy,DePURA Kids 15 ml,147,18981.82,0.0291,0.93,5,pre_recall
2023-01-01,TR06,Kanpur-Agra,North,Uttar Pradesh,T2,Pharmacy Chain,DePURA Kids 10 ml,37,3200.12,0.0848,0.901,5,pre_recall
2023-01-01,TR06,Kanpur-Agra,North,Uttar Pradesh,T2,Pharmacy Chain,DePURA Kids 15 ml,147,18103.46,0.074,0.937,5,pre_recall
2023-01-01,TR06,Kanpur-Agra,North,Uttar Pradesh,T2,Retail Chemist,DePURA Kids 10 ml,207,18820.81,0.0379,0.923,5,pre_recall
2023-01-01,TR06,Kanpur-Agra,North,Uttar Pradesh,T2,Retail Chemist,DePURA Kids 15 ml,584,73354.05,0.0556,0.92,5,pre_recall
2023-01-01,TR07,Varanasi-Gorakhpur,North,Uttar Pradesh,T3,E-Pharmacy,DePURA Kids 10 ml,6,491.62,0.1329,0.966,3,pre_recall
2023-01-01,TR07,Varanasi-Gorakhpur,North,Uttar Pradesh,T3,E-Pharmacy,DePURA Kids 15 ml,20,2217.65,0.1663,0.952,3,pre_recall
2023-01-01,TR07,Varanasi-Gorakhpur,North,Uttar Pradesh,T3,Hospital Pharmacy,DePURA Kids 10 ml,13,1185.71,0.0348,0.879,3,pre_recall
2023-01-01,TR07,Varanasi-Gorakhpur,North,Uttar Pradesh,T3,Hospital Pharmacy,DePURA Kids 15 ml,31,4077.75,0.011,0.935,3,pre_recall
